Country	date	total	cum	increment	double1	double2	double3	double7
United States	2020-04-07	29556	396223	43	439804651110400	148291040.037893	1032127.32407388	3533.08644375619
United States	2020-04-06	29595	366667	42	219902325555200	104857600	819200.000000001	3199.99999999999
United States	2020-04-05	28222	337072	41	109951162777600	74145520.0189467	650199.470886175	2898.31572564449
United States	2020-04-04	33264	308850	40	54975581388800	52428800.0000001	516063.662036941	2625.07313922443
United States	2020-04-03	31970	275586	39	27487790694400	37072760.0094734	409600	2377.59086261911
United States	2020-04-02	30244	243616	38	13743895347200	26214400.0000001	325099.735443088	2153.44030821176
United States	2020-04-01	25200	213372	37	6871947673600	18536380.0047367	258031.83101847	1950.42184672715
United States	2020-03-31	26335	188172	36	3435973836800	13107200	204800	1766.54322187809
United States	2020-03-30	20928	161837	35	1717986918400	9268190.00236834	162549.867721544	1600
Spain	2020-04-07	5267	141942	37	6871947673600	18536380.0047367	258031.83101847	1950.42184672715
United States	2020-03-29	19431	140909	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
Spain	2020-04-06	5029	136675	36	3435973836800	13107200	204800	1766.54322187809
Italy	2020-04-07	3039	135586	45	1759218604441600	296582080.075787	1638400	4306.88061642352
Italy	2020-04-06	3599	132547	44	879609302220800	209715200.000001	1300398.94177235	3900.84369345431
Spain	2020-04-05	5478	131646	35	1717986918400	9268190.00236834	162549.867721544	1600
Italy	2020-04-05	4316	128948	43	439804651110400	148291040.037893	1032127.32407388	3533.08644375619
Spain	2020-04-04	6969	126168	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
Italy	2020-04-04	4805	124632	42	219902325555200	104857600	819200.000000001	3199.99999999999
United States	2020-03-28	19821	121478	33	429496729600	4634095.00118417	102400	1312.53656961222
Italy	2020-04-03	4585	119827	41	109951162777600	74145520.0189467	650199.470886175	2898.31572564449
Spain	2020-04-03	7134	119199	33	429496729600	4634095.00118417	102400	1312.53656961222
Italy	2020-04-02	4668	115242	40	54975581388800	52428800.0000001	516063.662036941	2625.07313922443
Spain	2020-04-02	7947	112065	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
Italy	2020-04-01	4782	110574	39	27487790694400	37072760.0094734	409600	2377.59086261911
France	2020-04-07	11059	109069	39	27487790694400	37072760.0094734	409600	2377.59086261911
Germany	2020-04-07	4289	107663	38	13743895347200	26214400.0000001	325099.735443088	2153.44030821176
Italy	2020-03-31	4053	105792	38	13743895347200	26214400.0000001	325099.735443088	2153.44030821176
Spain	2020-04-01	8195	104118	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
Germany	2020-04-06	3251	103374	37	6871947673600	18536380.0047367	258031.83101847	1950.42184672715
Italy	2020-03-30	4050	101739	37	6871947673600	18536380.0047367	258031.83101847	1950.42184672715
United States	2020-03-27	17821	101657	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
Germany	2020-04-05	4031	100123	36	3435973836800	13107200	204800	1766.54322187809
France	2020-04-06	5171	98010	38	13743895347200	26214400.0000001	325099.735443088	2153.44030821176
Italy	2020-03-29	5217	97689	36	3435973836800	13107200	204800	1766.54322187809
Germany	2020-04-04	4933	96092	35	1717986918400	9268190.00236834	162549.867721544	1600
Spain	2020-03-31	7967	95923	30	53687091200	1638400	51200	975.210923363578
France	2020-04-05	2886	92839	37	6871947673600	18536380.0047367	258031.83101847	1950.42184672715
Italy	2020-03-28	5974	92472	35	1717986918400	9268190.00236834	162549.867721544	1600
Germany	2020-04-03	6365	91159	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
France	2020-04-04	25615	89953	36	3435973836800	13107200	204800	1766.54322187809
Spain	2020-03-30	7846	87956	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Italy	2020-03-27	5909	86498	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
Germany	2020-04-02	6922	84794	33	429496729600	4634095.00118417	102400	1312.53656961222
United States	2020-03-26	18058	83836	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
China	2020-04-07	53	82718	76	3.77789318629572e+24	13743895347200.1	2113796759.70331	92746.1032206235
China	2020-04-06	63	82665	75	1.88894659314786e+24	9718401599923.41	1677721600	84002.3404551816
China	2020-04-05	59	82602	74	9.44473296573929e+23	6871947673600.04	1331608516.37489	76082.9076038113
China	2020-04-04	32	82543	73	4.72236648286965e+23	4859200799961.7	1056898379.85165	68910.0898627762
China	2020-04-03	79	82511	72	2.36118324143482e+23	3435973836800.02	838860800.000001	62413.4990952688
China	2020-04-02	71	82432	71	1.18059162071741e+23	2429600399980.85	665804258.187444	56529.3831000989
China	2020-04-01	82	82361	70	5.90295810358706e+22	1717986918400.01	528449189.925827	51199.9999999997
China	2020-03-31	81	82279	69	2.95147905179353e+22	1214800199990.43	419430400.000001	46373.0516103118
China	2020-03-30	76	82198	68	1.47573952589676e+22	858993459200.004	332902129.093722	42001.1702275908
China	2020-03-29	123	82122	67	7.37869762948382e+21	607400099995.213	264224594.962914	38041.4538019057
China	2020-03-28	102	81999	66	3.68934881474191e+21	429496729600.002	209715200	34455.0449313881
China	2020-03-27	115	81897	65	1.84467440737096e+21	303700049997.606	166451064.546861	31206.7495476344
China	2020-03-26	121	81782	64	9.22337203685478e+20	214748364800.001	132112297.481457	28264.6915500495
China	2020-03-25	70	81661	63	4.61168601842739e+20	151850024998.803	104857600	25599.9999999999
China	2020-03-24	93	81591	62	2.30584300921369e+20	107374182400	83225532.2734305	23186.5258051559
China	2020-03-23	63	81498	61	1.15292150460685e+20	75925012499.4016	66056148.7407284	21000.5851137954
China	2020-03-22	130	81435	60	57646075230342348800	53687091200.0002	52428800.0000001	19020.7269009528
China	2020-03-21	55	81305	59	28823037615171174400	37962506249.7008	41612766.1367152	17227.5224656941
China	2020-03-20	94	81250	58	14411518807585587200	26843545600.0001	33028074.3703642	15603.3747738172
China	2020-03-19	54	81156	57	7205759403792793600	18981253124.8504	26214400	14132.3457750247
China	2020-03-18	44	81102	56	3602879701896396800	13421772800.0001	20806383.0683576	12799.9999999999
China	2020-03-17	25	81058	55	1801439850948198400	9490626562.42519	16514037.1851821	11593.262902578
China	2020-03-16	30	81033	54	900719925474099200	6710886400.00003	13107200	10500.2925568977
China	2020-03-15	26	81003	53	450359962737049600	4745313281.21259	10403191.5341788	9510.36345047643
China	2020-03-14	32	80977	52	225179981368524800	3355443200.00001	8257018.59259105	8613.76123284704
China	2020-03-13	13	80945	51	112589990684262400	2372656640.6063	6553600.00000001	7801.68738690861
China	2020-03-12	11	80932	50	56294995342131200	1677721600.00001	5201595.7670894	7066.17288751237
China	2020-03-11	34	80921	49	28147497671065600	1186328320.30315	4128509.29629553	6399.99999999998
China	2020-03-10	27	80887	48	14073748835532800	838860800.000003	3276800	5796.63145128898
China	2020-03-09	37	80860	47	7036874417766400	593164160.151574	2600797.8835447	5250.14627844886
China	2020-03-08	53	80823	46	3518437208883200	419430400.000001	2064254.64814776	4755.18172523822
China	2020-03-07	80	80770	45	1759218604441600	296582080.075787	1638400	4306.88061642352
China	2020-03-06	153	80690	44	879609302220800	209715200.000001	1300398.94177235	3900.84369345431
Italy	2020-03-26	6203	80589	33	429496729600	4634095.00118417	102400	1312.53656961222
China	2020-03-05	151	80537	43	439804651110400	148291040.037893	1032127.32407388	3533.08644375619
China	2020-03-04	125	80386	42	219902325555200	104857600	819200.000000001	3199.99999999999
China	2020-03-03	125	80261	41	109951162777600	74145520.0189467	650199.470886175	2898.31572564449
China	2020-03-02	204	80136	40	54975581388800	52428800.0000001	516063.662036941	2625.07313922443
Spain	2020-03-29	6875	80110	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
China	2020-03-01	576	79932	39	27487790694400	37072760.0094734	409600	2377.59086261911
China	2020-02-29	428	79356	38	13743895347200	26214400.0000001	325099.735443088	2153.44030821176
China	2020-02-28	328	78928	37	6871947673600	18536380.0047367	258031.83101847	1950.42184672715
China	2020-02-27	434	78600	36	3435973836800	13107200	204800	1766.54322187809
China	2020-02-26	412	78166	35	1717986918400	9268190.00236834	162549.867721544	1600
Germany	2020-04-01	6064	77872	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
China	2020-02-25	513	77754	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
China	2020-02-24	219	77241	33	429496729600	4634095.00118417	102400	1312.53656961222
China	2020-02-23	21	77022	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
China	2020-02-22	1451	77001	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
China	2020-02-21	473	75550	30	53687091200	1638400	51200	975.210923363578
China	2020-02-20	458	75077	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
China	2020-02-19	408	74619	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
Italy	2020-03-25	5210	74386	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
China	2020-02-18	1777	74211	27	6710886400	579261.875148021	25600	724.578931411124
Spain	2020-03-28	7516	73235	27	6710886400	579261.875148021	25600	724.578931411124
China	2020-02-17	1921	72434	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Germany	2020-03-31	4923	71808	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
China	2020-02-16	2100	70513	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Italy	2020-03-24	5249	69176	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
China	2020-02-15	2055	68413	24	838860800	204800	12800	538.360077052941
Germany	2020-03-30	4790	66885	30	53687091200	1638400	51200	975.210923363578
China	2020-02-14	6463	66358	23	419430400	144815.468787005	10159.3667325965	487.605461681789
United States	2020-03-25	12038	65778	30	53687091200	1638400	51200	975.210923363578
Spain	2020-03-27	7933	65719	26	3355443200	409600.000000001	20318.733465193	656.268284806109
France	2020-04-03	5233	64338	35	1717986918400	9268190.00236834	162549.867721544	1600
Italy	2020-03-23	4789	63927	30	53687091200	1638400	51200	975.210923363578
Iran	2020-04-07	2089	62589	43	439804651110400	148291040.037893	1032127.32407388	3533.08644375619
Germany	2020-03-29	4400	62095	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Iran	2020-04-06	2274	60500	42	219902325555200	104857600	819200.000000001	3199.99999999999
China	2020-02-13	15136	59895	22	209715200	102400	8063.49471932719	441.635805469524
Italy	2020-03-22	5560	59138	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
France	2020-04-02	2116	59105	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
Iran	2020-04-05	2483	58226	41	109951162777600	74145520.0189467	650199.470886175	2898.31572564449
Spain	2020-03-26	8271	57786	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Germany	2020-03-28	6824	57695	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
France	2020-04-01	4861	56989	33	429496729600	4634095.00118417	102400	1312.53656961222
Iran	2020-04-04	2560	55743	40	54975581388800	52428800.0000001	516063.662036941	2625.07313922443
United Kingdom	2020-04-07	3634	55242	35	1717986918400	9268190.00236834	162549.867721544	1600
United States	2020-03-24	9893	53740	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Italy	2020-03-21	6557	53578	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
Iran	2020-04-03	2715	53183	39	27487790694400	37072760.0094734	409600	2377.59086261911
France	2020-03-31	7578	52128	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
United Kingdom	2020-04-06	3802	51608	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
Germany	2020-03-27	6933	50871	27	6710886400	579261.875148021	25600	724.578931411124
Iran	2020-04-02	2875	50468	38	13743895347200	26214400.0000001	325099.735443088	2153.44030821176
Spain	2020-03-25	9630	49515	24	838860800	204800	12800	538.360077052941
United Kingdom	2020-04-05	5903	47806	33	429496729600	4634095.00118417	102400	1312.53656961222
Iran	2020-04-01	2988	47593	37	6871947673600	18536380.0047367	258031.83101847	1950.42184672715
Italy	2020-03-20	5986	47021	27	6710886400	579261.875148021	25600	724.578931411124
China	2020-02-12	373	44759	21	104857600	72407.7343935026	6400	399.999999999999
Iran	2020-03-31	3110	44605	36	3435973836800	13107200	204800	1766.54322187809
France	2020-03-30	4376	44550	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
China	2020-02-11	2032	44386	20	52428800	51200.0000000001	5079.68336629824	362.289465705562
Germany	2020-03-26	6615	43938	26	3355443200	409600.000000001	20318.733465193	656.268284806109
United States	2020-03-23	10571	43847	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
China	2020-02-10	2525	42354	19	26214400	36203.8671967513	4031.7473596636	328.134142403055
United Kingdom	2020-04-04	3735	41903	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
Iran	2020-03-30	3186	41495	35	1717986918400	9268190.00236834	162549.867721544	1600
Italy	2020-03-19	5322	41035	26	3355443200	409600.000000001	20318.733465193	656.268284806109
France	2020-03-29	2599	40174	30	53687091200	1638400	51200	975.210923363578
Spain	2020-03-24	4749	39885	23	419430400	144815.468787005	10159.3667325965	487.605461681789
China	2020-02-09	3015	39829	18	13107200	25600	3200	297.198857827389
Iran	2020-03-29	2901	38309	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
United Kingdom	2020-04-03	4450	38168	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
France	2020-03-28	4611	37575	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Germany	2020-03-25	4337	37323	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
China	2020-02-08	2704	36814	17	6553600	18101.9335983756	2539.84168314912	269.180038526471
Italy	2020-03-18	4207	35713	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Iran	2020-03-28	3076	35408	33	429496729600	4634095.00118417	102400	1312.53656961222
Spain	2020-03-23	6368	35136	22	209715200	102400	8063.49471932719	441.635805469524
China	2020-02-07	3523	34110	16	3276800	12800	2015.8736798318	243.802730840895
Turkey	2020-04-07	3892	34109	20	52428800	51200.0000000001	5079.68336629824	362.289465705562
United Kingdom	2020-04-02	4244	33718	30	53687091200	1638400	51200	975.210923363578
United States	2020-03-22	7676	33276	27	6710886400	579261.875148021	25600	724.578931411124
Germany	2020-03-24	3930	32986	24	838860800	204800	12800	538.360077052941
France	2020-03-27	3809	32964	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
Iran	2020-03-27	2926	32332	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
Italy	2020-03-17	3526	31506	24	838860800	204800	12800	538.360077052941
China	2020-02-06	3147	30587	15	1638400	9050.96679918782	1600	220.817902734762
Turkey	2020-04-06	3148	30217	19	26214400	36203.8671967513	4031.7473596636	328.134142403055
United Kingdom	2020-04-01	4324	29474	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Iran	2020-03-26	2389	29406	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
France	2020-03-26	3922	29155	27	6710886400	579261.875148021	25600	724.578931411124
Germany	2020-03-23	4183	29056	23	419430400	144815.468787005	10159.3667325965	487.605461681789
Spain	2020-03-22	3394	28768	21	104857600	72407.7343935026	6400	399.999999999999
Italy	2020-03-16	3233	27980	23	419430400	144815.468787005	10159.3667325965	487.605461681789
China	2020-02-05	3733	27440	14	819200	6400.00000000001	1269.92084157456	200
Turkey	2020-04-05	3135	27069	18	13107200	25600	3200	297.198857827389
Iran	2020-03-25	2206	27017	30	53687091200	1638400	51200	975.210923363578
United States	2020-03-21	6327	25600	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Spain	2020-03-21	4964	25374	20	52428800	51200.0000000001	5079.68336629824	362.289465705562
France	2020-03-25	2929	25233	26	3355443200	409600.000000001	20318.733465193	656.268284806109
United Kingdom	2020-03-31	3009	25150	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
Germany	2020-03-22	2660	24873	22	209715200	102400	8063.49471932719	441.635805469524
Iran	2020-03-24	1762	24811	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Italy	2020-03-15	3590	24747	22	209715200	102400	8063.49471932719	441.635805469524
Turkey	2020-04-04	3013	23934	17	6553600	18101.9335983756	2539.84168314912	269.180038526471
China	2020-02-04	3991	23707	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Iran	2020-03-23	1411	23049	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
France	2020-03-24	2448	22304	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Switzerland	2020-04-07	596	22253	35	1717986918400	9268190.00236834	162549.867721544	1600
Germany	2020-03-21	2365	22213	21	104857600	72407.7343935026	6400	399.999999999999
Belgium	2020-04-07	1380	22194	33	429496729600	4634095.00118417	102400	1312.53656961222
United Kingdom	2020-03-30	2619	22141	27	6710886400	579261.875148021	25600	724.578931411124
Switzerland	2020-04-06	557	21657	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
Iran	2020-03-22	1028	21638	27	6710886400	579261.875148021	25600	724.578931411124
Italy	2020-03-14	3497	21157	21	104857600	72407.7343935026	6400	399.999999999999
Switzerland	2020-04-05	595	21100	33	429496729600	4634095.00118417	102400	1312.53656961222
Turkey	2020-04-03	2786	20921	16	3276800	12800	2015.8736798318	243.802730840895
Belgium	2020-04-06	1123	20814	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
Iran	2020-03-21	966	20610	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Switzerland	2020-04-04	899	20505	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
Spain	2020-03-20	2447	20410	19	26214400	36203.8671967513	4031.7473596636	328.134142403055
France	2020-03-23	3838	19856	24	838860800	204800	12800	538.360077052941
Germany	2020-03-20	4528	19848	20	52428800	51200.0000000001	5079.68336629824	362.289465705562
China	2020-02-03	3086	19716	12	204800	3200	800	164.067071201527
Belgium	2020-04-05	1260	19691	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
Iran	2020-03-20	1237	19644	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Switzerland	2020-04-03	779	19606	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
Netherlands	2020-04-07	777	19580	33	429496729600	4634095.00118417	102400	1312.53656961222
United Kingdom	2020-03-29	2433	19522	26	3355443200	409600.000000001	20318.733465193	656.268284806109
United States	2020-03-20	5526	19273	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Switzerland	2020-04-02	1059	18827	30	53687091200	1638400	51200	975.210923363578
Netherlands	2020-04-06	952	18803	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
Belgium	2020-04-04	1661	18431	30	53687091200	1638400	51200	975.210923363578
Iran	2020-03-19	1046	18407	24	838860800	204800	12800	538.360077052941
Turkey	2020-04-02	2456	18135	15	1638400	9050.96679918782	1600	220.817902734762
Spain	2020-03-19	4053	17963	18	13107200	25600	3200	297.198857827389
Canada	2020-04-07	1309	17872	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
Netherlands	2020-04-05	1224	17851	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
Switzerland	2020-04-01	1163	17768	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Italy	2020-03-13	5198	17660	20	52428800	51200.0000000001	5079.68336629824	362.289465705562
Iran	2020-03-18	1192	17361	23	419430400	144815.468787005	10159.3667325965	487.605461681789
United Kingdom	2020-03-28	2546	17089	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Belgium	2020-04-03	1422	16770	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
China	2020-02-02	4739	16630	11	102400	2262.74169979695	634.96042078728	148.599428913695
Netherlands	2020-04-04	904	16627	30	53687091200	1638400	51200	975.210923363578
Switzerland	2020-03-31	683	16605	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
Canada	2020-04-06	807	16563	30	53687091200	1638400	51200	975.210923363578
Iran	2020-03-17	1178	16169	22	209715200	102400	8063.49471932719	441.635805469524
France	2020-03-22	1736	16018	23	419430400	144815.468787005	10159.3667325965	487.605461681789
Switzerland	2020-03-30	1093	15922	27	6710886400	579261.875148021	25600	724.578931411124
Canada	2020-04-05	2778	15756	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Netherlands	2020-04-03	1026	15723	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Turkey	2020-04-01	2148	15679	14	819200	6400.00000000001	1269.92084157456	200
Belgium	2020-04-02	1384	15348	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
Germany	2020-03-19	2993	15320	19	26214400	36203.8671967513	4031.7473596636	328.134142403055
Iran	2020-03-16	1053	14991	21	104857600	72407.7343935026	6400	399.999999999999
Switzerland	2020-03-29	753	14829	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Netherlands	2020-04-02	1083	14697	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
United Kingdom	2020-03-27	2885	14543	24	838860800	204800	12800	538.360077052941
France	2020-03-21	1670	14282	22	209715200	102400	8063.49471932719	441.635805469524
Switzerland	2020-03-28	1148	14076	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Brazil	2020-04-07	1873	14034	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Belgium	2020-04-01	1189	13964	27	6710886400	579261.875148021	25600	724.578931411124
Iran	2020-03-15	1209	13938	20	52428800	51200.0000000001	5079.68336629824	362.289465705562
Spain	2020-03-18	2162	13910	17	6553600	18101.9335983756	2539.84168314912	269.180038526471
United States	2020-03-19	5964	13747	24	838860800	204800	12800	538.360077052941
Netherlands	2020-04-01	1019	13614	27	6710886400	579261.875148021	25600	724.578931411124
Turkey	2020-03-31	2704	13531	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Canada	2020-04-04	541	12978	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
Switzerland	2020-03-27	1117	12928	24	838860800	204800	12800	538.360077052941
Belgium	2020-03-31	876	12775	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Iran	2020-03-14	1365	12729	19	26214400	36203.8671967513	4031.7473596636	328.134142403055
Austria	2020-04-07	342	12639	32	214748364800	3276800.00000001	81274.9338607719	1188.79543130956
France	2020-03-20	1741	12612	21	104857600	72407.7343935026	6400	399.999999999999
Netherlands	2020-03-31	845	12595	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Italy	2020-03-12	0	12462	19	26214400	36203.8671967513	4031.7473596636	328.134142403055
Italy	2020-03-11	2313	12462	18	13107200	25600	3200	297.198857827389
Portugal	2020-04-07	712	12442	27	6710886400	579261.875148021	25600	724.578931411124
Canada	2020-04-03	1153	12437	27	6710886400	579261.875148021	25600	724.578931411124
Germany	2020-03-18	3070	12327	18	13107200	25600	3200	297.198857827389
Austria	2020-04-06	246	12297	31	107374182400	2317047.50059208	64507.9577546175	1076.72015410588
Brazil	2020-04-06	1031	12161	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Austria	2020-04-05	270	12051	30	53687091200	1638400	51200	975.210923363578
Belgium	2020-03-30	1063	11899	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
China	2020-02-01	2089	11891	10	51200	1600	503.968419957949	134.590019263236
Switzerland	2020-03-26	914	11811	23	419430400	144815.468787005	10159.3667325965	487.605461681789
Austria	2020-04-04	257	11781	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Netherlands	2020-03-30	884	11750	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Spain	2020-03-17	1806	11748	16	3276800	12800	2015.8736798318	243.802730840895
Portugal	2020-04-06	452	11730	26	3355443200	409600.000000001	20318.733465193	656.268284806109
United Kingdom	2020-03-26	2129	11658	23	419430400	144815.468787005	10159.3667325965	487.605461681789
Austria	2020-04-03	395	11524	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
Iran	2020-03-13	1289	11364	18	13107200	25600	3200	297.198857827389
Canada	2020-04-02	1724	11284	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Portugal	2020-04-05	754	11278	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Brazil	2020-04-05	770	11130	24	838860800	204800	12800	538.360077052941
Austria	2020-04-02	418	11129	27	6710886400	579261.875148021	25600	724.578931411124
Switzerland	2020-03-25	1020	10897	22	209715200	102400	8063.49471932719	441.635805469524
France	2020-03-19	1828	10871	20	52428800	51200.0000000001	5079.68336629824	362.289465705562
Netherlands	2020-03-29	1104	10866	24	838860800	204800	12800	538.360077052941
Belgium	2020-03-29	1702	10836	24	838860800	204800	12800	538.360077052941
Turkey	2020-03-30	1610	10827	12	204800	3200	800	164.067071201527
Austria	2020-04-01	531	10711	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Portugal	2020-04-04	638	10524	24	838860800	204800	12800	538.360077052941
Brazil	2020-04-04	1304	10360	23	419430400	144815.468787005	10159.3667325965	487.605461681789
Korea	2020-04-07	47	10331	47	7036874417766400	593164160.151574	2600797.8835447	5250.14627844886
Korea	2020-04-06	47	10284	46	3518437208883200	419430400.000001	2064254.64814776	4755.18172523822
Korea	2020-04-05	81	10237	45	1759218604441600	296582080.075787	1638400	4306.88061642352
Austria	2020-03-31	562	10180	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
Korea	2020-04-04	94	10156	44	879609302220800	209715200.000001	1300398.94177235	3900.84369345431
Italy	2020-03-10	977	10149	17	6553600	18101.9335983756	2539.84168314912	269.180038526471
Iran	2020-03-12	1075	10075	17	6553600	18101.9335983756	2539.84168314912	269.180038526471
Korea	2020-04-03	86	10062	43	439804651110400	148291040.037893	1032127.32407388	3533.08644375619
Korea	2020-04-02	89	9976	42	219902325555200	104857600	819200.000000001	3199.99999999999
Spain	2020-03-16	2144	9942	15	1638400	9050.96679918782	1600	220.817902734762
Korea	2020-04-01	101	9887	41	109951162777600	74145520.0189467	650199.470886175	2898.31572564449
Portugal	2020-04-03	852	9886	23	419430400	144815.468787005	10159.3667325965	487.605461681789
Switzerland	2020-03-24	1082	9877	21	104857600	72407.7343935026	6400	399.999999999999
China	2020-01-31	1661	9802	9	25600	1131.37084989848	400	121.901365420447
Korea	2020-03-31	125	9786	40	54975581388800	52428800.0000001	516063.662036941	2625.07313922443
Netherlands	2020-03-28	1159	9762	23	419430400	144815.468787005	10159.3667325965	487.605461681789
Korea	2020-03-30	78	9661	39	27487790694400	37072760.0094734	409600	2377.59086261911
Austria	2020-03-30	830	9618	24	838860800	204800	12800	538.360077052941
Korea	2020-03-29	105	9583	38	13743895347200	26214400.0000001	325099.735443088	2153.44030821176
Canada	2020-04-01	1033	9560	25	1677721600	289630.93757401	16126.9894386544	594.397715654778
United Kingdom	2020-03-25	1452	9529	22	209715200	102400	8063.49471932719	441.635805469524
Korea	2020-03-28	146	9478	37	6871947673600	18536380.0047367	258031.83101847	1950.42184672715
Korea	2020-03-27	91	9332	36	3435973836800	13107200	204800	1766.54322187809
Germany	2020-03-17	1985	9257	17	6553600	18101.9335983756	2539.84168314912	269.180038526471
Israel	2020-04-07	344	9248	30	53687091200	1638400	51200	975.210923363578
Korea	2020-03-26	104	9241	35	1717986918400	9268190.00236834	162549.867721544	1600
Turkey	2020-03-29	1815	9217	11	102400	2262.74169979695	634.96042078728	148.599428913695
Italy	2020-03-09	1797	9172	16	3276800	12800	2015.8736798318	243.802730840895
Korea	2020-03-25	100	9137	34	858993459200	6553600.00000001	129015.915509235	1449.15786282225
Belgium	2020-03-28	1850	9134	23	419430400	144815.468787005	10159.3667325965	487.605461681789
Brazil	2020-04-03	1012	9056	22	209715200	102400	8063.49471932719	441.635805469524
France	2020-03-18	1391	9043	19	26214400	36203.8671967513	4031.7473596636	328.134142403055
Korea	2020-03-24	76	9037	33	429496729600	4634095.00118417	102400	1312.53656961222
Portugal	2020-04-02	783	9034	22	209715200	102400	8063.49471932719	441.635805469524
Iran	2020-03-11	958	9000	16	3276800	12800	2015.8736798318	243.802730840895
